product_name,code,categories_tags,additives_n,additives,additives_tags,energy_kcal_100g,fat_100g,saturated_fat_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g
Weetabix,5010029000016,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals']",0,[],[],358.0,2.11,0.526,4.21,10.0,11.8,0.257
cruesly mélange de noix,3168930010265,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:mueslis', 'en:cereals-with-nuts', 'en:crunchy-cereal-clusters', 'en:cereal-clusters-with-nuts']",1,[],['en:e306'],462.0,19.0,2.0,12.0,10.0,8.5,0.0
Family Pack,5010029000801,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:breakfast-cereals-rich-in-fibre']",0,[],[],362.0,2.0,0.6,4.2,10.0,12.0,0.275
Haferflocken,20003166,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:flakes', 'en:cereal-flakes', 'en:extruded-flakes', 'en:rolled-flakes', 'en:rolled-oats', 'ro:cereale']",0,[],[],372.0,7.0,1.3,0.7,10.0,13.5,0.03
Flocons d'avoine,3229820019307,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:flakes', 'en:cereal-flakes', 'en:rolled-flakes', 'en:rolled-oats']",0,[],[],362.0,7.1,1.3,1.7,11.0,11.0,0.02
Croustillant Chocolat,3229820160672,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:chocolate-cereals', 'en:breakfast-cereals-rich-in-fibre', 'en:crunchy-cereal-clusters', 'en:cereal-clusters-with-chocolate']",2,[],"['en:e306', 'en:e414']",433.0,14.0,3.8,14.0,9.8,9.8,0.28
Weetabix produit à base de blé complet 100%,5010029000023,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:breakfast-cereals-rich-in-fibre', 'fr:weetabix']",0,[],[],362.0,2.0,0.53,4.2,10.0,12.0,0.26
Wheat Bisks,4088600247519,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:flakes', 'en:cereal-flakes']",0,[],[],353.0,2.11,0.526,4.47,10.0,11.8,0.257
"Muesli Raisin, Figue, Abricot",3229820129488,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:cereals-with-fruits', 'en:mueslis', 'en:mueslis-with-fruits']",0,[],[],352.0,5.8,0.9,14.0,10.0,11.0,0.03
Special Muesli 30% fruits & noix,5010477348678,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:cereals-with-fruits', 'en:mueslis', 'en:mueslis-with-fruits']",0,[],[],362.0,7.2,2.0,17.0,8.8,10.0,0.03
Quaker Rolled Oats,5000108022152,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:flakes', 'en:cereal-flakes', 'en:rolled-flakes', 'en:porridge', 'en:rolled-oats']",0,[],[],368.0,8.5,1.75,1.0,10.0,12.3,0.00625
"Muesli SuperFruits Raisins, cassis,cranberry, myrtille",3229820782560,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:cereals-with-fruits', 'en:mueslis', 'en:mueslis-with-fruits']",0,[],[],358.0,6.0,0.9,13.0,10.0,11.0,0.04
Corn Flakes,3159470000120,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:flakes', 'en:cereal-flakes', 'en:extruded-cereals', 'en:extruded-flakes', 'en:corn-flakes']",0,[],[],378.0,0.9,0.2,8.0,3.0,7.0,1.1
