product_name,code,categories_tags,additives_n,additives,additives_tags,energy_kcal_100g,fat_100g,saturated_fat_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g
Fromage blanc nature,6111246721261,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:desserts', 'en:dairy-desserts', 'en:fermented-dairy-desserts', 'en:fromages-blancs-petit-suisses-and-skyr', 'en:plain-fermented-dairy-desserts', 'fr:fromages-blancs', 'fr:fromages-blancs-natures']",0,[],[],80.6,12.0,0.0,0.0,0.0,7.3,0.0
Jben,6111242106949,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:spreads', 'en:salted-spreads', 'en:cheese-spreads', 'en:fromage-frais-nature-a-21-de-matiere-grasse']",1,[],['en:e407'],235.0,21.0,15.0,0.0,0.0,8.0,0.46
Cheddar,6111203006653,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:cow-cheeses', 'en:cheeses-from-the-united-kingdom', 'en:cheeses-from-england', 'en:sliced-cheeses', 'en:cheddar-cheese', 'en:cheddar-slices']",1,[],['en:e452'],270.0,21.0,12.0,6.0,,9.0,1.5
Cream cheese,6111246721278,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:cream-cheeses']",0,[],[],257.0,18.0,0.0,0.0,0.0,10.0,0.0
,6111032008583,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:desserts', 'en:dairy-desserts', 'en:fermented-dairy-desserts', 'en:fromages-blancs-petit-suisses-and-skyr', 'en:plain-fermented-dairy-desserts', 'en:fresh-cheeses', 'fr:fromages-blancs', 'fr:fromages-blancs-natures']",0,[],[],137.0,7.0,4.8,7.2,,7.0,0.5
Skyr nature 0%,3329770077003,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:desserts', 'en:dairy-desserts', 'en:fermented-dairy-desserts', 'en:fromages-blancs-petit-suisses-and-skyr', 'en:plain-fermented-dairy-desserts', 'en:skyrs', 'en:plain-skyrs']",0,[],[],57.0,0.105,0.065,3.6,0.0,9.5,0.1375
Jebli,6111206000733,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:spreads', 'en:salted-spreads', 'en:cheese-spreads', 'en:cream-cheeses']",1,[],['en:e406'],225.0,19.0,13.0,0.0,0.0,6.5,0.76
Carré Frais,3480341000674,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:cream-cheeses', 'en:fromages-a-la-creme', 'en:produits-fermentes', 'en:produits-laitiers-fermentes']",0,[],[],85.0,0.3,0.2,2.9,,16.0,1.2775
Philadelphia,7622201693916,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:spreads', 'en:salted-spreads', 'en:cheese-spreads', 'en:cream-cheeses']",2,[],"['en:e330', 'en:e412']",226.0,21.0,14.0,4.3,0.2,5.4,0.75
Carré Frais - Nature,3480341000636,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:spreads', 'en:salted-spreads', 'en:pasteurised-products', 'en:pasteurized-cheeses', 'en:cheese-spreads']",0,[],[],193.0,15.0,11.0,2.5,,12.0,1.2
Tranches Au Goût Cheddar,6111260230619,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:melted-cheese', 'ar:منتاجات-الالبان']",0,[],[],281.0,8.0,10.0,0.0,,8.0,3.25
,6111206000696,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:spreads', 'en:salted-spreads', 'en:cheese-spreads']",5,[],"['en:e202', 'en:e330', 'en:e331', 'en:e407', 'en:e452']",234.0,20.0,10.0,5.5,,8.0,1.0
Paysan Breton - Le Fromage Fouetté Madame Loïk - Nature au Sel de Guérande,3412290070101,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:spreads', 'en:salted-spreads', 'en:cheese-spreads', 'fr:fromage-fouette']",0,[],[],252.0,24.0,17.3,3.0,0.0,5.9,1.1
Kiri carré 8p,6111028000980,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:spreads', 'en:creams', 'en:salted-spreads', 'en:cheese-spreads', 'fr:kiri-a-la-creme-de-lait']",4,[],"['en:e14xx', 'en:e330', 'en:e407', 'en:e452']",230.0,20.0,13.0,2.0,,9.0,1.6
Perly fromage,6111266960336,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses']",6,[],"['en:e160a', 'en:e202', 'en:e330', 'en:e331', 'en:e339', 'en:e452']",262.0,22.0,15.2,0.0,0.0,10.0,1.6
St Môret,3272770098090,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:spreads', 'en:salted-spreads', 'en:cheese-spreads']",0,[],[],205.0,17.8,13.2,3.0,,8.3,1.2
Coulommiers Doux et Crémeux,3176582033563,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:soft-cheeses', 'en:cow-cheeses', 'en:soft-cheeses-with-bloomy-rind', 'en:pasteurised-products', 'en:french-cheeses', 'en:pasteurized-cheeses', 'en:coulommiers']",0,[],[],283.0,23.0,16.0,0.1,,18.0,1.5
