product_name,code,categories_tags,additives_n,additives,additives_tags,energy_kcal_100g,fat_100g,saturated_fat_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g
Vanilla Ice Cream,3415581101928,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-tubs', 'en:vanilla-ice-cream-tubs']",0,[],[],251.0,17.0,10.4,18.8,0.0,4.3,0.16
Noisetta,6111255771196,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams']",9,[],"['en:e102', 'en:e132', 'en:e304', 'en:e307', 'en:e407', 'en:e410', 'en:e412', 'en:e471', 'en:e472']",542.0,32.9,7.3,57.3,,3.1,0.05
Traditional Dairy Ice Cream,5012262004011,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams']",4,[],"['en:e401', 'en:e412', 'en:e422', 'en:e471']",184.0,10.3,6.4,18.2,,4.0,0.1675
Ванилов сладолед с парчета бисквити с шоколадов чипс и шоколадови парчета,8711327373105,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-tubs', 'en:luxury-ice-cream-in-a-cup']",2,[],"['en:e407', 'en:e412']",273.0,15.0,9.2,25.0,0.6,4.1,0.17
Nutella-Eis,8000500425183,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-tubs']",6,[],"['en:e322', 'en:e407', 'en:e412', 'en:e466', 'en:e471', 'en:e477']",344.0,23.0,9.7,29.0,,4.1,0.1125
Carte D'Or Les Essentiels Glace Crème Glacée Vanille 700ml,8711327615380,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-tubs', 'en:vanilla-ice-cream-tubs']",4,[],"['en:e160', 'en:e412', 'en:e417', 'en:e471']",96.0,4.4,2.9,9.1,0.5,1.2,0.06
Swedish Glace dairy-free smooth Vanilla,8714100590430,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams']",5,[],"['en:e160a', 'en:e407', 'en:e410', 'en:e412', 'en:e471']",174.0,5.8,4.9,22.0,,1.0,0.11
Chocolate Fudge Brownie,8711327370708,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-tubs', 'en:chocolate-ice-cream-tubs']",3,[],"['en:e407', 'en:e412', 'en:e500', 'en:e500i']",218.0,11.0,6.8,23.0,1.74,3.7,0.2
Clotted Cream Ice Cream,5010238020355,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-tubs', 'en:ice-cream-in-a-box']",4,[],"['en:e160a', 'en:e410', 'en:e412', 'en:e471']",230.0,15.0,9.5,17.3,0.2,3.1,0.1
Magadascan Vanilla,8711327529793,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-tubs', 'en:vanilla-ice-cream-tubs']",5,[],"['en:e160a', 'en:e410', 'en:e412', 'en:e417', 'en:e471']",186.0,7.5,6.7,19.0,0.5,2.1,0.08
