product_name,code,categories_tags,additives_n,additives,additives_tags,energy_kcal_100g,fat_100g,saturated_fat_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g
"Lentilles cuisinées, riz & soja",3175681170872,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:legumes-and-their-products', 'en:legumes', 'en:seeds', 'en:legume-seeds', 'en:meals', 'en:pulses', 'en:lentils', 'fr:cereales-preparees', 'en:microwave-meals', 'en:plant-based-meals', 'en:prepared-lentils']",0,[],[],153.0,6.4,1.1,1.6,8.9,6.4,0.72
Petites gambas compotée de tomates Tagliatelles au pesto,3166352967211,"['en:meals', 'en:fresh-foods', 'en:pasta-dishes', 'en:fresh-meals', 'en:meals-with-shellfish', 'en:microwave-meals', 'fr:plats-a-base-de-crustaces']",0,[],[],130.0,4.5,0.9,1.7,1.1,6.7,0.825
Cabillaud sauce Citron riz aux petits légumes,3166353931402,"['en:seafood', 'en:fishes-and-their-products', 'en:fishes', 'en:meals', 'en:fresh-foods', 'en:meals-with-fish', 'en:rice-dishes', 'en:fresh-meals', 'en:microwave-meals', 'en:meals-with-cod']",0,[],[],141.0,5.9,1.5,0.7,0.8,8.6,0.67
Poulet🐔 au Curry et Noix de Coco 🥥,3248832940539,"['en:condiments', 'en:meals', 'en:meats-and-their-products', 'en:specific-products', 'en:refrigerated-foods', 'en:meals-with-meat', 'en:refrigerated-meals', 'en:rice-dishes', 'en:sauces', 'en:meal-sauces', 'en:poultry-meals', 'en:meals-with-chicken', 'en:microwave-meals', 'en:chicken-curry', 'en:licensed-products', 'en:low-fat-prepared-meals']",0,[],[],90.0,2.5,1.6,2.5,1.1,6.3,0.6
Couscous Oriental légumes cuisinés et poulet émincé,3248832940522,"['en:meats-and-their-products', 'en:meals', 'en:fresh-foods', 'en:meals-with-meat', 'en:savory-semolina-dishes', 'en:fresh-meals', 'en:poultry-meals', 'en:prepared-couscous', 'en:couscous-with-meat', 'en:meals-with-chicken', 'en:microwave-meals', 'en:chicken-couscous', 'en:couscous', 'en:low-fat-prepared-meals', 'fr:plats-prepares-a-rechauffer-au-bain-marie']",0,[],[],91.0,1.8,0.3,2.2,1.4,6.9,0.69
"Parmentier de saumon, sauce ricotta épinards",3302740030932,"['en:meals', 'en:pasta-dishes', 'en:meals-with-fish', 'en:meals-with-salmon', 'en:microwave-meals']",0,[],[],130.0,7.2,3.6,1.5,1.0,6.4,0.67
Cuisiné cappelletti,3175681061460,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:meals', 'en:pasta-dishes', 'en:stuffed-pastas', 'en:pasta-stuffed-with-vegetables', 'en:microwave-meals', 'en:pasta-stuffed-with-cheese', 'en:plant-based-meals']",1,[],['en:e330'],98.0,2.7,0.5,3.2,3.2,3.7,0.56
Le couscous à la Marocaine,3302740003868,"['en:meals', 'en:frozen-foods', 'en:savory-semolina-dishes', 'en:prepared-couscous', 'en:microwave-meals', 'en:couscous']",0,[],[],143.0,7.1,1.8,2.8,1.3,8.2,0.72
Pastabox Bolognaise,3242272270157,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:meals', 'en:pasta-dishes', 'en:pastas', 'en:fresh-pasta', 'en:instant-pasta', 'en:microwave-meals', 'en:pasta-with-meat', 'en:pots']",2,[],"['en:e202', 'en:e262', 'en:e262i']",128.0,2.8,0.7,2.1,2.0,7.5,0.64
Brandade de Morue parmentière 2 personnes,3760002340456,"['en:meals', 'en:meals-with-fish', 'en:microwave-meals', 'en:cod-brandade', 'fr:brandades-de-morue-parmentiere', 'fr:preparations-a-base-de-chair-de-poisson']",0,[],[],153.0,9.8,1.1,0.5,,6.6,0.8
