product_name,code,categories_tags,additives_n,additives,additives_tags,energy_kcal_100g,fat_100g,saturated_fat_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g
,6111099003897,"['en:plant-based-foods-and-beverages', 'en:dairies', 'en:plant-based-foods', 'en:fats', 'en:spreads', 'en:plant-based-spreads', 'en:salted-spreads', 'en:vegetable-fats', 'en:spreadable-fats', 'en:animal-fats', 'en:dairy-spreads', 'en:margarines', 'en:milkfat', 'en:butters']",0,[],[],675.0,75.0,34.0,0.0,0.0,0.1,0.5
Tonik,6111031005064,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:snacks', 'en:cereals-and-potatoes', 'en:sweet-snacks', 'en:biscuits-and-cakes', 'en:biscuits-and-crackers', 'en:cereals-and-their-products', 'en:cocoa-and-its-products', 'en:confectioneries', 'en:flours', 'en:biscuits', 'en:cereal-flours', 'en:chocolate-candies', 'en:sweeteners', 'en:wheat-flours', 'en:sugars', 'fr:gaufrettes-fourrees-au-cacao']",0,[],[],504.0,22.2,10.9,40.0,0.435,4.35,0.217
Sourdough White Ciabattin Bread,5025125000006,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breads', 'en:white-breads', 'en:sourdough-breads']",0,[],[],230.0,0.8,0.1,2.4,2.9,10.1,0.905
Geröstete Mandel Ohne Zucker,5411188112709,"['en:beverages-and-beverages-preparations', 'en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:dairy-substitutes', 'en:milk-substitutes', 'en:nuts-and-their-products', 'en:plant-based-beverages', 'en:plant-based-milk-alternatives', 'en:nut-based-drinks', 'en:almond-based-drinks']",3,[],"['en:e322', 'en:e412', 'en:e418']",15.0,1.1,0.1,0.0,0.3,0.5,0.15
Proper Sourdough,5025125000112,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breads', 'en:sourdough-breads']",0,[],[],237.0,0.7,0.1,2.1,3.0,9.7,0.7875
Cerneaux de Noix,20005733,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:nuts-and-their-products', 'en:nuts', 'en:shelled-nuts', 'en:walnuts', 'en:walnut-kernels']",0,[],[],712.0,69.1,6.8,3.0,6.8,15.5,0.02
Sourdough Grains & Seeds,5025125000037,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:sliced-breads', 'en:vegan', 'en:vegetarian']",0,[],[],237.0,2.7,0.3,1.4,4.7,10.7,0.89
Mandeln,20724696,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:nuts-and-their-products', 'en:nuts', 'en:almonds']",0,[],[],621.0,53.3,4.3,4.8,12.1,24.5,2.5e-05
Cashewkerne,20267605,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:nuts-and-their-products', 'en:nuts', 'en:cashew-nuts']",0,[],[],599.0,47.0,9.2,7.7,,18.8,0.02
Nescafé Classic,6111018903161,"['en:beverages-and-beverages-preparations', 'en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:beverage-preparations', 'en:coffees', 'en:instant-beverages', 'en:arabica-coffees', 'en:instant-coffees', 'en:instant-powder-for-coffee-with-milk']",0,[],[],267.0,0.5,0.2,3.7,17.0,8.0,0.025
