product_name,code,categories_tags,additives_n,additives,additives_tags,energy_kcal_100g,fat_100g,saturated_fat_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g
Prince Goût Chocolat,7622210449283,"['en:snacks', 'en:breakfasts', 'en:sweet-snacks', 'en:biscuits-and-cakes', 'en:biscuits-and-crackers', 'en:biscuits', 'en:dry-biscuits', 'en:breakfast-biscuit', 'en:breakfast-biscuit-with-chocolate']",3,[],"['en:e322', 'en:e322i', 'en:e500', 'en:e503']",465.0,17.5,5.5,31.5,4.0,6.5,0.5
Supreme Dark 90%,3046920029759,"['en:snacks', 'en:sweet-snacks', 'en:cocoa-and-its-products', 'en:chocolates', 'en:dark-chocolates', 'en:dark-chocolate-bar', 'en:extra-fine-dark-chocolates']",0,[],[],592.0,55.0,30.0,7.0,0.0,10.0,0.03
70% chocolate,3046920028004,"['en:snacks', 'en:sweet-snacks', 'en:cocoa-and-its-products', 'en:chocolates', 'en:dark-chocolates', 'en:dark-chocolate-bar-with-more-than-70-cocoa', 'en:extra-fine-dark-chocolates']",0,[],[],566.0,41.0,24.0,30.0,,9.5,0.1
Tonik,6111031005064,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:snacks', 'en:cereals-and-potatoes', 'en:sweet-snacks', 'en:biscuits-and-cakes', 'en:biscuits-and-crackers', 'en:cereals-and-their-products', 'en:cocoa-and-its-products', 'en:confectioneries', 'en:flours', 'en:biscuits', 'en:cereal-flours', 'en:chocolate-candies', 'en:sweeteners', 'en:wheat-flours', 'en:sugars', 'fr:gaufrettes-fourrees-au-cacao']",0,[],[],504.0,22.2,10.9,40.0,0.435,4.35,0.217
Sésame,3175680011480,"['en:snacks', 'en:sweet-snacks', 'en:biscuits-and-cakes', 'en:biscuits-and-crackers', 'en:biscuits']",4,[],"['en:e322', 'en:e336', 'en:e500', 'en:e503']",467.0,18.0,2.0,17.0,4.6,10.0,0.38
zero sin azúcares Fibra,8410376009392,"['en:snacks', 'en:sweet-snacks', 'en:biscuits-and-cakes', 'en:biscuits-and-crackers', 'en:biscuits']",4,[],"['en:e322', 'en:e322i', 'en:e500', 'en:e500ii', 'en:e503', 'en:e503ii', 'en:e965']",431.0,17.0,1.7,0.5,9.3,6.1,0.65
Excellence 85% Cacao Rich Dark,3046920028363,"['en:snacks', 'en:sweet-snacks', 'en:cocoa-and-its-products', 'en:chocolates', 'en:dark-chocolates', 'en:dark-chocolate-bar-with-more-than-70-cocoa', 'en:extra-fine-dark-chocolates']",0,[],[],583.0,46.7,26.7,13.3,16.7,13.3,0.025
Chocolat noir - 85% cacao,20995553,"['en:snacks', 'en:sweet-snacks', 'en:cocoa-and-its-products', 'en:chocolates', 'en:dark-chocolates']",2,[],"['en:e322', 'en:e322i']",600.0,48.0,28.0,12.0,16.0,12.0,0.0
Henry’s,3362600011044,"['en:snacks', 'en:sweet-snacks', 'en:biscuits-and-cakes', 'en:biscuits-and-crackers', 'en:biscuits']",2,[],"['en:e500', 'en:e500ii', 'en:e503', 'en:e503ii']",440.0,10.8235,5.2941,24.2353,2.3529,7.6471,0.882353
,8425197712024,"['en:snacks', 'en:sweet-snacks', 'en:cocoa-and-its-products', 'en:confectioneries', 'en:chocolates', 'en:compound-chocolates', 'en:food']",1,[],"['en:e322', 'en:e322i']",539.0,33.0,25.0,50.0,,7.2,0.275
