product_name,code,categories_tags,additives_n,additives,additives_tags,energy_kcal_100g,fat_100g,saturated_fat_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g
,6111242100985,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:desserts', 'en:dairy-desserts', 'en:fermented-dairy-desserts', 'en:fromages-blancs-petit-suisses-and-skyr', 'en:yogurts', 'en:plain-fermented-dairy-desserts', 'fr:fromages-blancs', 'fr:fromages-blancs-natures']",0,[],[],101.0,6.0,0.0,0.0,0.0,7.6,0.0
Yaourt nature,6111242100206,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:desserts', 'en:dairy-desserts', 'en:fermented-dairy-desserts', 'en:yogurts', 'en:plain-fermented-dairy-desserts', 'en:plain-yogurts']",0,[],[],78.5,3.3,2.4,0.0,0.0,4.2,0.0
Assil,6111032001003,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:desserts', 'en:dairy-desserts', 'en:fermented-dairy-desserts', 'en:yogurts']",0,[],[],95.5,2.7,1.8,9.0,2.0,3.4,0.0
Cremy,6111242100305,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:desserts', 'en:dairy-desserts', 'en:fermented-dairy-desserts', 'en:yogurts']",0,[],[],109.0,3.0,0.4,2.0,,3.6,0.0
Jamila رايبي,6111032006619,"['en:beverages-and-beverages-preparations', 'en:beverages', 'en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:desserts', 'en:dairy-desserts', 'en:dairy-drinks', 'en:fermented-dairy-desserts', 'en:fermented-drinks', 'en:fermented-dairy-desserts-with-fruits', 'en:fermented-milk-drinks', 'en:yogurts', 'en:fruit-yogurts', 'en:yogurt-drinks']",0,[],[],72.0,1.7,1.1,9.0,0.0,1.9,0.0
DANONE ASSIL BANANE,6111032001010,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:desserts', 'en:dairy-desserts', 'en:fermented-dairy-desserts', 'en:yogurts', 'en:produits-fermentes', 'en:produits-laitiers-fermentes']",0,[],[],95.0,2.7,1.8,14.3,0.0,3.4,0.1
raibi jaoda,6111242100930,"['en:beverages-and-beverages-preparations', 'en:beverages', 'en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:desserts', 'en:dairy-desserts', 'en:dairy-drinks', 'en:fermented-dairy-desserts', 'en:yogurts', 'fr:yaourt-a-boire-de-grenadine']",1,[],['en:e330'],75.3,1.38,0.8,13.5,0.0,2.48,0.0
Tendre nature,6111242102781,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:desserts', 'en:dairy-desserts', 'en:fermented-dairy-desserts', 'en:yogurts']",0,[],[],119.0,5.0,4.2,9.0,0.0,4.2,0.0
NATURAL YOGURT,4056489148739,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:desserts', 'en:dairy-desserts', 'en:fermented-dairy-desserts', 'en:yogurts', 'en:greek-style-yogurts']",0,[],[],126.0,10.0,6.72,4.4,0.48,4.08,0.102
Yaourt Grec Muesli,6111242103702,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:desserts', 'en:dairy-desserts', 'en:fermented-dairy-desserts', 'en:yogurts', 'en:greek-style-yogurts', 'en:sheep-milk-yogurts']",0,[],[],140.0,7.0,4.0,9.0,,3.3,0.0
Danino,6111032008453,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:desserts', 'en:dairy-desserts', 'en:fermented-dairy-desserts', 'en:fermented-dairy-desserts-with-fruits', 'en:yogurts', 'en:fruit-yogurts', 'en:strawberry-yogurts', 'en:yogurt-with-fruits-and-sugar']",0,[],[],132.2,6.3,4.3,8.6,,6.5,0.07
Ghilal Yaourt zr3,6111242102002,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:desserts', 'en:dairy-desserts', 'en:fermented-dairy-desserts', 'en:yogurts', 'en:stirred-yogurts']",0,[],[],106.0,3.0,2.2,7.5,1.1,3.5,0.0
Yaourt tendre,6111242102767,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:desserts', 'en:dairy-desserts', 'en:fermented-dairy-desserts', 'en:fermented-dairy-desserts-with-fruits', 'en:yogurts', 'en:fruit-yogurts', 'fr:laitier']",0,[],[],121.0,5.0,0.0,14.9,,4.2,0.0
5% Greek Yogurt,5201054017432,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:desserts', 'en:dairy-desserts', 'en:fermented-dairy-desserts', 'en:yogurts', 'en:cow-milk-yogurts', 'en:greek-style-yogurts']",0,[],[],93.0,5.0,3.6,3.0,,9.0,0.0975
Skyr | Natural Fat Free | 0% Fat,4016241030573,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:desserts', 'en:dairy-desserts', 'en:fermented-dairy-desserts', 'en:yogurts', 'en:plain-fermented-dairy-desserts', 'en:plain-yogurts', 'en:skyrs', 'en:plain-skyrs']",0,[],[],60.0,0.2,0.1,4.0,0.0,10.0,0.1375
Greek Style Yogurt,20047559,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:desserts', 'en:dairy-desserts', 'en:fermented-dairy-desserts', 'en:yogurts', 'en:greek-style-yogurts']",0,[],[],121.0,10.0,6.6,3.2,0.5,4.6,0.1
6111266962446,6111266962446,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:desserts', 'en:dairy-desserts', 'en:fermented-dairy-desserts', 'en:yogurts']",0,[],[],167.8,7.4,4.8,20.0,,5.3,0.0
Yaourt Nature,6111032002925,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:desserts', 'en:dairy-desserts', 'en:fermented-dairy-desserts', 'en:yogurts', 'en:plain-fermented-dairy-desserts', 'en:plain-yogurts']",0,[],[],66.2,3.0,2.0,6.7,,3.0,0.34125
Fermented Coconut Yoghurt Alternative,0680569854124,"['en:plant-based-foods-and-beverages', 'en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:dairy-substitutes', 'en:desserts', 'en:vegan-products', 'en:dairy-desserts', 'en:non-dairy-desserts', 'en:non-dairy-fermented-foods', 'en:fermented-dairy-desserts', 'en:non-dairy-yogurts', 'en:fermented-dairy-desserts-with-fruits', 'en:yogurts', 'en:fruit-yogurts', 'en:coconut-yogurts', 'en:coconutmilk-yogurts']",1,[],['en:e440'],120.0,10.0,9.0,1.6,1.0,1.2,0.0
Organic Natural Yoghurt,5036589255598,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:desserts', 'en:dairy-desserts', 'en:fermented-dairy-desserts', 'en:yogurts', 'en:plain-fermented-dairy-desserts', 'en:plain-yogurts']",0,[],[],72.0,3.8,2.5,4.9,,4.2,0.117
Fage Total 0% Yogurt,5201054017418,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:desserts', 'en:dairy-desserts', 'en:fermented-dairy-desserts', 'en:yogurts', 'en:greek-style-yogurts']",0,[],[],54.0,0.0,0.0,3.0,,10.3,0.0975
double zéro Cerise,6111032010135,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:desserts', 'en:dairy-desserts', 'en:fermented-dairy-desserts', 'en:fermented-dairy-desserts-with-fruits', 'en:yogurts', 'en:fruit-yogurts']",1,[],['en:e960'],48.3,0.2,0.0,0.0,,3.4,0.0
Authentic Greek Yogurt,4088600060880,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:desserts', 'en:dairy-desserts', 'en:fermented-dairy-desserts', 'en:yogurts', 'en:plain-fermented-dairy-desserts', 'en:plain-yogurts', 'en:greek-style-yogurts', 'en:greek-style-yogurts-plain']",0,[],[],132.0,10.0,6.7,3.1,,5.9,0.1375
