source_category,product_name,code,categories_tags,additives_n,additives_tags,energy_kcal_100g,fat_100g,saturated_fat_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,rating
breads,Sourdough White Ciabattin Bread,5025125000006,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breads', 'en:white-breads', 'en:sourdough-breads']",0,[],230.0,0.8,0.1,2.4,2.9,10.1,0.905,33
breads,Proper Sourdough,5025125000112,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breads', 'en:sourdough-breads']",0,[],237.0,0.7,0.1,2.1,3.0,9.7,0.7875,80
breads,Sourdough Grains & Seeds,5025125000037,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:sliced-breads', 'en:vegan', 'en:vegetarian']",0,[],237.0,2.7,0.3,1.4,4.7,10.7,0.89,13
breads,Tartine croustillante Authentique,7300400481595,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:snacks', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breads', 'en:crispbreads']",0,[],336.0,1.5,0.4,1.0,19.0,9.0,1.0,41
breads,Pain de mie grandes tranches Seigle & Graines 500g,3760049798609,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breads', 'en:sliced-breads']",1,['en:e282'],297.0,9.6,1.0,4.2,7.2,12.0,0.96,12
breads,Jasons Sourdough,5025125000129,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breads', 'en:sourdough-breads']",0,[],233.0,1.1,0.2,2.6,3.6,9.3,0.855,44
breads,FIBRES,7300400481588,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:snacks', 'en:cereals-and-potatoes', 'en:salty-snacks', 'en:appetizers', 'en:cereals-and-their-products', 'en:chips-and-fries', 'en:crisps', 'en:breads', 'en:crispbreads', 'en:crispbreads-wholemeal']",0,[],333.0,5.0,1.0,2.0,26.0,12.0,1.2,92
breads,Krisprolls complets sans sucres ajoutés,7311070032611,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breads', 'en:toasts', 'en:toasted-bread-rolls']",0,[],400.0,6.6,0.9,1.1,8.3,13.0,1.1,62
breads,14 Maxi Tranches complet sans sucres ajoutés,3029330022428,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breads', 'en:sliced-breads', 'en:wholemeal-breads', 'en:wholemeal-sliced-breads']",0,[],243.0,3.0,0.3,3.8,6.6,8.7,1.2,12
breads,Dark Rye Crispbread,5010265002911,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:crispbreads', 'en:rye-breads']",0,[],352.0,1.14,0.19,2.86,14.5,10.5,0.705,99
breads,Pain De Mie Bio,3760049790214,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breads', 'en:sliced-breads', 'en:packaged-breads', 'en:wholemeal-breads', 'en:wholemeal-sliced-breads', 'fr:ecologie']",0,[],268.0,4.2,0.4,6.3,4.9,8.1,1.1,19
breads,Wholegrain Rye Bread,20006105,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breads', 'en:rye-breads', 'en:wholemeal-breads', 'en:pflanzliche-lebensmittel-und-getranke']",0,[],209.0,1.79,0.36,3.93,9.29,5.71,1.0,53
breads,Seed Sensations,5010003064744,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:sliced-breads', 'en:multigrain-sliced-breads']",3,"['en:e282', 'en:e300', 'en:e472e']",277.0,6.59,0.682,3.86,5.23,10.0,0.886,10
breads,Bakery Co. 5 The Original Bagels,5020364010113,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:special-breads', 'en:bagel-breads']",2,"['en:e282', 'en:e300']",229.0,2.2,0.8,4.4,2.6,7.8,0.188,31
breads,Rye & Mixed Seed Sourdough Bread,5057967395088,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:rye-and-wheat-breads', 'en:rye-breads', 'en:sourdough']",1,['en:e300'],262.0,4.4,0.8,2.4,6.8,8.6,0.765,68
breads,Tartines campagne 450g,3760049791006,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:pains-de-campagne', 'fr:pain-de-mie-de-campagne']",2,"['en:e282', 'en:e300']",274.0,6.5,0.5,2.6,3.9,8.9,1.2,16
breads,pain de mie grandes tranches spécial sandwich complet,4056489007180,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breads', 'en:sliced-breads', 'en:wholemeal-breads', 'en:wholemeal-sliced-breads']",1,['en:e262'],258.0,4.5,0.5,5.0,6.3,8.3,1.0,76
breads,Seeded Sourdough Bread,4088600246291,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breads']",0,[],265.0,4.9,0.6,0.5,5.5,9.5,0.0021,68
breads,wasa,7300400481571,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:snacks', 'en:cereals-and-potatoes', 'en:salty-snacks', 'en:appetizers', 'en:cereals-and-their-products', 'en:chips-and-fries', 'en:crisps', 'en:breads', 'en:crispbreads', 'en:crispbreads-wholemeal']",0,[],338.0,1.5,0.3,2.0,20.0,9.0,1.0,43
breads,Everyday White Rolls,5025125000150,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:white-breads']",1,['en:e300'],245.0,0.75,0.0125,3.38,1.8,10.0,0.762,64
breads,Harrys brioche tressee nature au sucre perle sans additifs 500g,3228857001231,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:snacks', 'en:cereals-and-potatoes', 'en:sweet-snacks', 'en:cereals-and-their-products', 'en:sweet-pastries-and-pies', 'en:breads', 'en:viennoiseries', 'en:brioches', 'fr:brioches-tressees', 'en:packaged-breads', 'en:pure-butter-brioche', 'fr:brioches-natures']",0,[],356.0,13.0,1.0,13.0,4.5,8.6,0.8,82
breads,100% mie complet 500g,3228857000166,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breads', 'en:sliced-breads', 'en:sliced-breads-without-crust', 'en:wholemeal-breads', 'en:wholemeal-sliced-breads']",0,[],250.0,4.3,0.4,5.5,6.5,7.5,1.1,82
breads,No. 6 Sourdough Majestic Malted,5025125000105,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads']",0,[],255.0,2.7,0.8,1.8,3.6,9.3,0.99,76
breads,Dark Rye Sourdough,4088600327587,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads']",0,[],234.0,1.3,0.1,1.5,5.2,7.9,0.7975,18
breads,Biscottes 6 Céréales,3392460480827,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:rusks', 'en:multigrain-rusks']",3,"['en:e300', 'en:e471', 'en:e481']",402.0,7.8,2.4,3.4,5.0,13.0,1.6,93
breads,MULTISEED WHOLEMEAL FARMHOUSE LOAF,1318180,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:sliced-breads', 'en:multigrain-sliced-breads', 'en:wholemeal-breads']",1,['en:e300'],270.0,7.5,1.1,4.2,7.4,12.8,0.84,84
breads,Brioche moins de sucre,3228857001378,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:snacks', 'en:cereals-and-potatoes', 'en:sweet-snacks', 'en:sweet-pastries-and-pies', 'en:breads', 'en:viennoiseries', 'en:brioches', 'fr:brioches-tranchees', 'fr:brioches-natures']",0,[],327.0,11.0,1.1,9.3,7.2,8.4,1.0,40
breads,White Sourdough,5057967395071,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads']",0,[],238.0,2.8,0.1,2.7,4.7,7.5,0.7675,53
breads,Pain de mie Bio grandes tranches céréales & graines 500g,3760049794298,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breads', 'en:sliced-breads', 'en:multigrain-sliced-breads', 'en:packaged-breads']",1,['en:e300'],310.0,8.6,0.9,4.9,4.0,9.2,1.0,88
breads,Pain grillé au blé complet,3017760542890,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breads', 'en:rusks', 'en:toasts']",2,"['en:e270', 'en:e300']",387.0,4.9,2.1,2.6,5.1,12.0,1.8,58
breads,Organic Piadina 4 Wholeblend Flatbreads with Extra Virgin Olive Oil,5060198641251,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:flatbreads', 'en:white-breads', 'en:piadina', 'en:wheat-breads', 'en:wheat-flatbreads']",0,[],305.0,8.53,1.73,1.07,4.53,7.87,1.57,53
breads,Petit Pains Grillés Blé complet,4056489039518,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:toasts', 'en:toasted-bread-rolls']",1,['en:e300'],408.0,10.0,0.9,4.2,6.9,10.0,1.0,95
breads,Classic Torinesi Breadsticks,5060198640261,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:breadsticks']",0,[],402.0,6.5,1.0,2.8,1.2,19.8,2.1,12
breads,Harrys pain de mie 100% mie nature sans croute 500g,3228857000852,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:frozen-foods', 'en:breads', 'en:sliced-breads', 'en:frozen-breads', 'en:sliced-breads-without-crust']",0,[],264.0,4.0,0.3,7.0,4.0,7.0,1.1,31
breads,Pain de mie grandes tranches Toastiligne complet,3760049790252,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:sliced-breads', 'en:packaged-breads', 'en:wholemeal-breads', 'en:wholemeal-sliced-breads']",3,"['en:e282', 'en:e300', 'en:e471']",226.0,1.9,0.9,2.8,6.2,10.0,0.98,34
breads,Wholemeal bread 54kcal,5010044000404,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:sliced-breads', 'en:wholemeal-breads']",5,"['en:e282', 'en:e300', 'en:e471', 'en:e472e', 'en:e481']",180.0,0.0,0.0,0.0,0.0,0.0,0.0,33
breads,Hand finished seeded sourdough bread,5000129341041,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:multi-seed-sour-dough-loaf', 'en:seeded-bread']",0,[],251.0,3.9,0.5,2.5,5.1,8.8,0.7,66
breads,Finn Crisp,6410500090014,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breads', 'en:crispbreads', 'en:crispbreads-wholemeal', 'en:sourdough-crisp-bread']",0,[],350.0,2.6,0.5,1.6,20.0,10.0,1.4,94
breads,6 Wraps blé complet,8410076470812,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:flatbreads', 'en:white-breads', 'en:wheat-breads', 'en:wheat-flatbreads']",4,"['en:e422', 'en:e450', 'en:e471', 'en:e500', 'en:e500ii']",295.0,6.03,1.03,2.24,5.17,9.14,1.05,92
breads,Grilletine au froment sans sucres ajoutés,3182180001477,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breads', 'en:toasts', 'en:toasted-bread-rolls', 'en:wheat-rusk-slices']",2,"['en:e300', 'en:e965']",425.0,9.6,2.0,1.7,7.4,13.0,0.89,27
